date,value
28-04-13,135.98
29-04-13,147.49
30-04-13,146.93
01-05-13,139.89
02-05-13,125.6
03-05-13,108.13
04-05-13,115
05-05-13,118.8
06-05-13,124.66
07-05-13,113.44
08-05-13,115.78
09-05-13,113.46
10-05-13,122
11-05-13,118.68
12-05-13,117.45
13-05-13,118.7
14-05-13,119.8
15-05-13,115.81
16-05-13,118.76
17-05-13,125.3
18-05-13,125.25
19-05-13,124.5
20-05-13,123.62
21-05-13,123
22-05-13,124
23-05-13,126.93
24-05-13,133.85
25-05-13,133.22
26-05-13,136
27-05-13,135.47
28-05-13,130.58
29-05-13,132.59
30-05-13,132.25
31-05-13,129.9
01-06-13,129.78
02-06-13,129.4
03-06-13,122.5
04-06-13,123.84
05-06-13,123.47
06-06-13,123.1
07-06-13,119
08-06-13,111.42
09-06-13,108.99
10-06-13,110.1
11-06-13,109.6
12-06-13,111.79
13-06-13,110.3
14-06-13,104.7
15-06-13,103.7
16-06-13,101.6
17-06-13,102.21
18-06-13,111.11
19-06-13,110.22
20-06-13,114.3
21-06-13,114.99
22-06-13,109.96
23-06-13,108.8
24-06-13,108.33
25-06-13,106.47
26-06-13,105.49
27-06-13,104
28-06-13,101.74
29-06-13,99.99
30-06-13,98.12
01-07-13,97.66
02-07-13,92.3
03-07-13,90.98
04-07-13,83.11
05-07-13,80
06-07-13,75
07-07-13,74.56
08-07-13,80
09-07-13,78.3
10-07-13,87
11-07-13,90.28
12-07-13,104
13-07-13,98.25
14-07-13,98.7
15-07-13,101.9
16-07-13,99.86
17-07-13,99.97
18-07-13,98.8
19-07-13,95.2
20-07-13,93.1
21-07-13,91.95
22-07-13,92
23-07-13,96.82
24-07-13,95.99
25-07-13,97.33
26-07-13,97.47
27-07-13,97
28-07-13,100.58
29-07-13,102.5
30-07-13,107.99
31-07-13,111.34
01-08-13,108
02-08-13,108
03-08-13,105.78
04-08-13,105.95
05-08-13,107.77
06-08-13,107.38
07-08-13,106.75
08-08-13,106.75
09-08-13,105.75
10-08-13,103.9
11-08-13,105.19
12-08-13,108
13-08-13,109.35
14-08-13,115
15-08-13,113.25
16-08-13,112.3
17-08-13,113.75
18-08-13,114.69
19-08-13,123.06
20-08-13,123.01
21-08-13,124.91
22-08-13,123.5
23-08-13,122
24-08-13,121.39
25-08-13,122.99
26-08-13,122.75
27-08-13,127.24
28-08-13,127.32
29-08-13,123.7
30-08-13,135.75
31-08-13,140.89
01-09-13,145.81
02-09-13,146.5
03-09-13,138.34
04-09-13,144.5
05-09-13,131.44
06-09-13,127.34
07-09-13,125.94
08-09-13,124.72
09-09-13,129.06
10-09-13,129.74
11-09-13,137.83
12-09-13,136.08
13-09-13,137.58
14-09-13,135.85
15-09-13,131.44
13-09-14,482.12
14-09-14,479.85
15-09-14,478.62
16-09-14,475.64
17-09-14,468.17
18-09-14,456.86
19-09-14,427.83
20-09-14,423.3
21-09-14,412.43
22-09-14,406.92
23-09-14,441.56
24-09-14,436.11
25-09-14,423.52
26-09-14,414.94
27-09-14,406.62
28-09-14,401.02
29-09-14,385.21
30-09-14,390.98
01-10-14,391.38
02-10-14,385.5
03-10-14,377.69
04-10-14,364.49
05-10-14,341.8
06-10-14,345.13
07-10-14,339.25
08-10-14,354.36
09-10-14,382.73
10-10-14,375.07
11-10-14,367.19
12-10-14,379.43
13-10-14,397.23
14-10-14,411.7
15-10-14,402.23
16-10-14,398.81
17-10-14,385.48
18-10-14,395.16
19-10-14,393.94
20-10-14,390.08
21-10-14,392.65
22-10-14,388.58
23-10-14,385.05
24-10-14,364.35
25-10-14,359.86
26-10-14,359.22
27-10-14,358.63
28-10-14,359.98
29-10-14,357.83
30-10-14,350.91
31-10-14,348.05
01-11-14,340.53
02-11-14,329.05
03-11-14,334
04-11-14,331.77
05-11-14,343.37
06-11-14,352.97
07-11-14,352.73
08-11-14,347.03
09-11-14,363.63
10-11-14,374.82
11-11-14,371.31
12-11-14,429.72
13-11-14,457.09
14-11-14,419.25
15-11-14,405.53
16-11-14,390.8
17-11-14,410.2
18-11-14,392.4
19-11-14,386.48
20-11-14,382.02
21-11-14,357.88
22-11-14,364.84
23-11-14,370.85
24-11-14,387.21
25-11-14,394.7
26-11-14,377.7
27-11-14,373.99
28-11-14,382.84
29-11-14,387.6
30-11-14,382.53
01-12-14,383.66
02-12-14,384.04
03-12-14,383.03
04-12-14,378.65
05-12-14,379.19
06-12-14,378.45
07-12-14,376.29
08-12-14,376.03
09-12-14,363.07
10-12-14,352.38
11-12-14,361.36
12-12-14,352.98
13-12-14,352.38
14-12-14,353.32
15-12-14,351.81
16-12-14,345.86
17-12-14,333.95
18-12-14,323.71
19-12-14,318.53
20-12-14,330.32
21-12-14,329.63
22-12-14,334.12
23-12-14,336.29
24-12-14,334.74
25-12-14,322.67
26-12-14,331.42
27-12-14,328.91
28-12-14,320.03
29-12-14,320.27
30-12-14,314.81
31-12-14,320.19
01-01-15,320.44
02-01-15,315.84
03-01-15,315.15
04-01-15,287.23
05-01-15,278.34
06-01-15,287.55
07-01-15,298.75
08-01-15,294.13
09-01-15,291.11
10-01-15,288.13
11-01-15,279.64
12-01-15,272.2
13-01-15,268.28
14-01-15,223.89
15-01-15,229.07
16-01-15,221.59
17-01-15,211.73
18-01-15,218.69
19-01-15,216.73
20-01-15,215.24
21-01-15,227.79
22-01-15,237.02
23-01-15,234.84
24-01-15,248.21
25-01-15,255.07
26-01-15,309.38
27-01-15,275.48
28-01-15,266.54
29-01-15,238.71
30-01-15,242.85
31-01-15,233.5
01-02-15,231.57
02-02-15,242.18
03-02-15,245.96
04-02-15,230.06
05-02-15,239.41
06-02-15,230.51
07-02-15,230.3
08-02-15,229.44
09-02-15,223.98
10-02-15,221.81
11-02-15,223.41
12-02-15,222.2
13-02-15,240.26
14-02-15,259.81
15-02-15,265.61
16-02-15,239.52
17-02-15,245.78
18-02-15,244.25
19-02-15,242.67
20-02-15,247.1
21-02-15,255.32
22-02-15,246.39
23-02-15,240.11
24-02-15,239.9
25-02-15,239.34
26-02-15,237.71
27-02-15,256.65
28-02-15,254.69
01-03-15,261.66
02-03-15,276.3
03-03-15,285.8
04-03-15,284.23
05-03-15,281.67
06-03-15,277.61
07-03-15,277.85
08-03-15,277.86
09-03-15,292.7
10-03-15,300.04
11-03-15,297.39
12-03-15,297.09
13-03-15,294.5
14-03-15,286.34
15-03-15,286.53
16-03-15,294.11
17-03-15,292.37
18-03-15,285.34
19-03-15,264.24
20-03-15,264.85
21-03-15,262.2
22-03-15,269.75
23-03-15,277.3
24-03-15,267
25-03-15,249.19
26-03-15,254.35
27-03-15,256.81
28-03-15,254.21
29-03-15,253.14
30-03-15,249.24
31-03-15,248.73
01-04-15,247.54
02-04-15,254.46
03-04-15,256.04
04-04-15,255.26
05-04-15,260.68
06-04-15,261.8
07-04-15,255.81
08-04-15,253.85
09-04-15,246.12
10-04-15,243.69
11-04-15,239.54
12-04-15,237.73
13-04-15,236.94
14-04-15,224.98
15-04-15,223.83
16-04-15,229.67
17-04-15,228.91
18-04-15,224.32
19-04-15,226.35
20-04-15,226.35
21-04-15,235.27
22-04-15,237.91
23-04-15,236.47
24-04-15,236.31
25-04-15,232.56
26-04-15,226.94
27-04-15,233.31
28-04-15,229.5
29-04-15,227.04
30-04-15,239.56
01-05-15,238.97
02-05-15,235.73
03-05-15,243.24
04-05-15,242.64
05-05-15,239.2
06-05-15,236.45
07-05-15,239.1
08-05-15,246.28
09-05-15,247.8
10-05-15,244.07
11-05-15,244.27
12-05-15,242.88
13-05-15,243.7
14-05-15,237.8
15-05-15,238.75
16-05-15,237.7
17-05-15,238.03
18-05-15,237.21
19-05-15,234.15
20-05-15,234.68
21-05-15,236.24
22-05-15,240.97
